********************************************************************************
32-Bit Software Installed
********************************************************************************

Display Name: AddressBook; Version: Null
Display Name: Windows Live Writer; Version: 16.4.3505.0912
Display Name: Windows Live SOXE Definitions; Version: 16.4.3505.0912
Display Name: MSVCRT; Version: 15.4.2862.0708
Display Name: MSVCRT110; Version: 16.4.1108.0727
Display Name: {8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2162169; Version: Null
Display Name: {8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2416472; Version: Null
Display Name: Update for Microsoft .NET Framework 4 Extended (KB2468871); Version: 1
Display Name: {8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2478063; Version: Null
Display Name: Security Update for Microsoft .NET Framework 4 Extended (KB2487367); Version: 1
Display Name: Update for Microsoft .NET Framework 4 Extended (KB2533523); Version: 1
Display Name: {8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2544514; Version: Null
Display Name: {8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2572063; Version: Null
Display Name: {8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2599651; Version: Null
Display Name: {8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2600211; Version: Null
Display Name: Update for Microsoft .NET Framework 4 Extended (KB2600217); Version: 1
Display Name: {8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2604121; Version: Null
Display Name: {8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2639327; Version: Null
Display Name: Security Update for Microsoft .NET Framework 4 Extended (KB2656351); Version: 1
Display Name: {8E34682C-8118-31F1-BC4C-98CD9675E1C2}.KB2682543; Version: Null
Display Name: Security Update for Microsoft .NET Framework 4 Extended (KB2736428); Version: 1
Display Name: Security Update for Microsoft .NET Framework 4 Extended (KB2742595); Version: 1
Display Name: Update for Microsoft .NET Framework 4 Extended (KB2836939); Version: 1
Display Name: Microsoft Office; Version: 14.0.6120.5004
Display Name: Windows Live Writer; Version: 16.4.3505.0912
Display Name: Google Drive; Version: 1.10.4769.632
Display Name: Microsoft Visual C++ 2008 Redistributable - x86 9.0.30729.6161; Version: 9.0.30729.6161
Display Name: Adobe AIR; Version: 3.7.0.2090
Display Name: Google Update Helper; Version: 1.3.21.145
Display Name: Adobe Reader XI (11.0.03); Version: 11.0.03
Display Name: Windows Live Mail; Version: 16.4.3505.0912
Display Name: Windows Live Essentials; Version: 16.4.3505.0912
Display Name: Windows Live Installer; Version: 16.4.3505.0912
Display Name: Windows Live Photo Common; Version: 16.4.3505.0912
Display Name: MSVCRT_amd64; Version: 15.4.2862.0708
Display Name: Windows Live Writer; Version: 16.4.3505.0912
Display Name: Photo Common; Version: 16.4.3505.0912
Display Name: {DA5E371C-6333-3D8A-93A4-6FD5B20BCC6E}.KB2151757; Version: Null
Display Name: {DA5E371C-6333-3D8A-93A4-6FD5B20BCC6E}.KB982573; Version: Null
Display Name: D3DX10; Version: 15.4.2368.0902
Display Name: Jump Desktop; Version: 3.3.3
Display Name: Cisco PEAP Module; Version: 1.1.6
Display Name: Movie Maker; Version: 16.4.3505.0912
Display Name: Microsoft SQL Server 2005 Compact Edition [ENU]; Version: 3.1.0000
Display Name: Intel(R) Processor Graphics; Version: 9.17.10.2932
Display Name: Realtek High Definition Audio Driver; Version: 6.0.1.6554
Display Name: Consumer In-Home Service Agreement; Version: 2.0.0
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2160841; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2162169; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2446708; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2446708v2; Version: Null
Display Name: Update for Microsoft .NET Framework 4 Client Profile (KB2468871); Version: 1
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2473228; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2478063; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2478663; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2514805; Version: Null
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2518870); Version: 1
Display Name: Update for Microsoft .NET Framework 4 Client Profile (KB2533523); Version: 1
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2539636); Version: 1
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2544514; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2572063; Version: Null
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2572078); Version: 1
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2599651; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2600211; Version: Null
Display Name: Update for Microsoft .NET Framework 4 Client Profile (KB2600217); Version: 1
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2604121); Version: 1
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2633870; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2639327; Version: Null
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2656351); Version: 1
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2656368; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2656368v2; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2656405; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2686827; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2698021; Version: Null
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2729449); Version: 1
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2732797; Version: Null
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2736428); Version: 1
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2737019); Version: 1
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2742595); Version: 1
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2789642); Version: 1
Display Name: Security Update for Microsoft .NET Framework 4 Client Profile (KB2804576); Version: 1
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2832407; Version: Null
Display Name: {F5B09CFD-F0B2-36AF-8DF4-1DF6B63FC7B4}.KB2835393; Version: Null
Display Name: Update for Microsoft .NET Framework 4 Client Profile (KB2836939); Version: 1
Display Name: Intel(R) Control Center; Version: 1.2.1.1007
Display Name: Photo Gallery; Version: 16.4.3505.0912
Display Name: Windows Live SOXE; Version: 16.4.3505.0912
